"Reference","Value","Footprint","Qty","DNP","Label","Part"
"C1,C3","100nF","Capacitor_SMD:C_1206_3216Metric","2","","","C1206C104K4RAC7800"
"C2,C4,C5,C7","10uF","Capacitor_SMD:C_1206_3216Metric","4","","","C1206C106K4RAC7800"
"C6,C12","220uF","Capacitor_SMD:CP_Elec_6.3x4.5,Capacitor_SMD:C_1206_3216Metric","2","","","A768EB476M1ELAE042,C1206C106K4RAC7800"
"C9","470uF","Capacitor_SMD:CP_Elec_6.3x4.5","1","","","875585345004"
"C10,C11","47uF","Capacitor_SMD:CP_Elec_6.3x4.5","2","","","A768EB476M1ELAE042"
"D13","B340AE-13","Diode_SMD:D_SMA","1","","","B340AE-13 "
"J1,J3,J4","B2B_XH","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","3","","- PWR +,MOT,SW","B2B-XH-A"
"J2","Conn_01x05_Pin","Connector_JST:JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical","1","","SYG_ACT","B5B-XH-A"
"J5","Conn_01x03_Pin","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","1","","SERVO","B3B-XH-A"
"J6","BM04BGHS","Connector_JST:JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical","1","","BAR02","BM04B-GHS-TBT"
"J7","Conn_01x04_Pin","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","1","","+ R T -","B4B-PH-K"
"L1","68uH","Inductor_SMD:L_Coilcraft_MSS1048-XXX","1","","","MSS1048-683MLC"
"R1,R2,R4,R6","2K2","Resistor_SMD:R_1206_3216Metric","4","","","RMCF1206JT2K20"
"R3","4K7","Resistor_SMD:R_1206_3216Metric","1","","","RMCF1206JT4K70"
"R5","1K5","Resistor_SMD:R_1206_3216Metric","1","","","RMCF1206JT1K50"
"RV1","R_Potentiometer","Potentiometer_SMD:Potentiometer_Bourns_3214J_Horizontal","1","","","3314J-1-103E"
"U1,U3","DRV8251ADDAR","Umar_Library:SOIC8_DDA_TEX","2","","","DRV8251ADDAR"
"U2","ESP32-C3-DEVKITC-02","Umar_Library:XCVR_ESP32-C3-DEVKITC-02","1","","","ESP32-C3-DEVKITC-02"
"U5","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1","","","AMS1117-3.3"
"U6","LM2596S-ADJ","Package_TO_SOT_SMD:TO-263-5_TabPin3","1","","","LM2596S-ADJ/NOPB"
"U7","AMS1117-5.0","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1","","","AMS1117-5.0"
